,SPF.t.t.1.,Greenbook.t.t.1.,combined
5,3.1631,3.3,3.23155
6,2.6012,3.4,3.0006
7,3.3857,4.8,4.09285
8,3.4798,3.7,3.5899
9,4.0936,3.5,3.7968
10,3.6526,3.7,3.6763
11,4.2429,4.9,4.57145
12,3.6008,3.5,3.5504
13,3.6867,4.3,3.99335
14,3.7123,3.9,3.80615
15,3.7944,4.9,4.3472
16,3.3057,5.3,4.30285
17,3.3342,3.5,3.4171
18,3.4121,3.1,3.25605
19,3.4136,3.2,3.3068
20,3.5354,3.2,3.3677
21,3.8109,4,3.90545
22,3.65,3.6,3.625
23,4.3653,4.3,4.33265
24,4.8648,5.3,5.0824
25,5.9098,5.7,5.8049
26,7.0284,6.9,6.9642
27,6.999,6.2,6.5995
28,7.8645,8.1,7.98225
29,8.6706,8.4,8.5353
30,8.2209,7.2,7.71045
31,6.3376,5.5,5.9188
32,5.9901,6.6,6.29505
33,6.049,5.6,5.8245
34,6.4327,5.6,6.01635
35,6.2003,5.4,5.80015
36,6.0451,6,6.02255
37,5.5277,5.7,5.61385
38,5.4621,5,5.23105
39,5.9214,5.6,5.7607
40,6.8408,6.7,6.7704
41,5.9643,6.3,6.13215
42,5.7671,6.2,5.98355
43,6.5557,6.7,6.62785
44,8.5427,7.2,7.87135
45,7.3456,7.4,7.3728
46,7.7862,7.7,7.7431
47,8.4563,7.6,8.02815
48,9.1757,10.7,9.93785
49,7.7168,9.6,8.6584
50,8.803,9.7,9.2515
51,9.0598,10,9.5299
52,8.6083,10.4,9.50415
53,9.9416,10.4,10.1708
54,9.4141,8.7,9.05705
55,8.6786,8.2,8.4393
56,7.5769,9.1,8.33845
57,8.1084,7.1,7.6042
58,6.3606,6.9,6.6303
59,4.9105,5.5,5.20525
60,6.2017,5.2,5.70085
61,5.0874,5,5.0437
62,4.7238,3.6,4.1619
63,4.3897,3.1,3.74485
64,4.6479,3.1,3.87395
65,5.1367,4.7,4.91835
66,4.558,4.1,4.329
67,4.8687,4.6,4.73435
68,4.4733,4.5,4.48665
69,4.2024,4.6,4.4012
70,3.4984,3.6,3.5492
71,3.7547,2.7,3.22735
72,3.8092,3.2,3.5046
73,3.6938,3.5,3.5969
74,3.0106,3.4,3.2053
75,2.5112,2.2,2.3556
76,2.4208,2.2,2.3104
77,3.0165,2.9,2.95825
78,3.2965,3,3.14825
79,4.0477,3.2,3.62385
80,4.9424,2.8,3.8712
81,3.2823,4,3.64115
82,3.5549,3.5,3.52745
83,3.6644,4.1,3.8822
84,4.1079,4.2,4.15395
85,4.4471,3.9,4.17355
86,4.6496,4.4,4.5248
87,4.5731,4.1,4.33655
88,3.8259,3.7,3.76295
89,3.9569,4.2,4.07845
90,3.9342,3.6,3.7671
91,4.137,3.8,3.9685
92,4.2762,3.4,3.8381
93,4.6474,5.6,5.1237
94,3.6932,3.8,3.7466
95,3.3744,3.3,3.3372
96,3.2829,3.3,3.29145
97,3.1783,3.7,3.43915
98,2.8517,2.9,2.87585
99,3.022,2.8,2.911
100,2.7205,2.9,2.81025
101,2.8228,2.8,2.8114
102,2.6743,2.2,2.43715
103,2.8397,2.2,2.51985
104,3.0035,3,3.00175
105,2.8873,2.6,2.74365
106,2.5707,2.3,2.43535
107,2.6735,2.3,2.48675
108,2.9408,2.5,2.7204
109,3.1288,3.1,3.1144
110,2.7059,2.4,2.55295
111,2.8854,2.6,2.7427
112,2.6021,2.4,2.50105
113,2.3559,2.5,2.42795
114,2.2634,2.4,2.3317
115,2.4864,3.2,2.8432
116,2.5381,3,2.76905
117,2.518,2.9,2.709
118,2.4752,2.7,2.5876
119,2.3962,2.3,2.3481
120,2.2829,2.1,2.19145
121,2.2333,2.2,2.21665
122,1.9852,1.6,1.7926
123,1.5997,1.7,1.64985
124,1.7561,1.4,1.57805
125,1.7364,1.7,1.7182
126,1.3769,1.4,1.38845
127,1.5016,1.5,1.5008
128,1.7043,1.6,1.65215
129,1.7699,2.1,1.93495
130,1.8315,1.8,1.81575
131,2.1357,1.9,2.01785
132,2.3169,1.6,1.95845
133,2.4149,2.4,2.40745
134,2.1852,1.8,1.9926
135,2.1192,1.3,1.7096
136,2.0595,1.8,1.92975
137,1.7952,2,1.8976
138,1.7229,1.6,1.66145
139,1.8163,1.3,1.55815
140,1.6741,1.3,1.48705
141,1.9301,1.6,1.76505
142,1.7614,1.2,1.4807
143,1.6128,1.1,1.3564
144,1.5453,1,1.27265
145,1.8073,1.1,1.45365
146,1.4197,0.6,1.00985
147,1.7506,0.6,1.1753
148,2.1333,1.2,1.66665
149,2.1065,1.6,1.85325
150,2.1223,1.6,1.86115
151,2.1958,1.2,1.6979
152,2.3063,2,2.15315
153,2.5406,1.8,2.1703
154,2.2766,2.5,2.3883
155,2.3696,1.9,2.1348
156,2.6257,1.6,2.11285
157,2.6758,3,2.8379
158,2.1676,2.4,2.2838
159,2.2044,1.7,1.9522
160,2.1259,2.1,2.11295
161,2.4606,2.7,2.5803
162,2.1716,2,2.0858
163,2.3308,2.4,2.3654
164,2.4977,2,2.24885
165,2.0975,2,2.04875
166,0.7342,2.3,1.5171
167,1.6218,1.5,1.5609
168,1.4207,1.2,1.31035
169,1.3283,1.7,1.51415
170,1.1455,1.1,1.12275
171,1.45,1.3,1.375
172,1.2334,0.8,1.0167